steps	episodes	elapsed	mean	median	stdev	max	min	average_value	average_entropy
1000018	25863	1022.1090137958527	1.1	0.0	2.024845673131659	6.0	0.0	0.2197811969851217	1.3448058081001946
2000150	50091	2050.556888103485	3.2	2.0	3.0840089349921005	9.0	0.0	0.3039069317035138	1.3534684028826667
3000135	72284	3037.736716032028	3.3	3.0	2.496664441476534	9.0	0.0	0.5700412002744051	1.2944649667586727
4000026	89062	4063.535742521286	4.9	5.0	1.911950719959998	7.0	2.0	0.6840829888226388	1.1928392854430077
5000170	103429	5069.072034597397	8.1	8.5	4.532597979574677	15.0	1.0	0.7913195206890042	1.1844345308479234
6000254	115888	6050.017495632172	8.1	6.0	4.121757985239902	17.0	4.0	0.9206372373434794	1.116457061990378
7000005	126320	6947.587147474289	18.0	13.0	12.745369529536774	47.0	6.0	1.2841691432635514	0.9996995736325938
8000114	134818	7802.53139591217	14.5	15.5	3.5039660069381067	19.0	9.0	1.4454709159536487	1.0581457631318647
9000221	141806	8731.81833744049	30.0	30.5	8.806563209081938	47.0	16.0	1.9404581564257335	0.9435990992628311
10000149	147132	9690.098138809204	46.9	49.5	14.332945731193337	73.0	23.0	1.9939473150460454	0.955821133210944
11000119	151514	10649.141021251678	112.9	81.5	98.68068594095695	314.0	19.0	2.553855253007318	0.9224721388893158
12001340	155191	11604.099862098694	192.7	120.5	131.24197329953384	385.0	64.0	2.90793843747352	0.9211732940953401
13000420	158412	12544.157373905182	194.8	171.0	136.9921327830341	403.0	18.0	4.085733613618501	0.7900247139667379
14000005	161379	13496.842605829239	223.6	254.5	135.6287416278554	381.0	33.0	3.7509006848022595	0.9314653702616995
15000052	164165	14486.030730009079	289.1	349.0	132.10807864943175	411.0	33.0	4.643871630491429	0.8515640539516647
16000433	166754	15475.079222679138	349.4	380.5	58.668939349918745	399.0	228.0	3.641576746598599	0.9089532282849186
17000485	169197	16419.308636903763	317.4	328.0	91.91082634815118	420.0	140.0	4.205221009156909	0.90508394245478
18000101	171594	17405.1022875309	284.4	315.5	140.29270987633123	434.0	43.0	3.072485822651425	0.9137971779214201
